src,dst,channel,mean_rssi,pdr,tx_count,,,,,,,
20,17,11,-59.9,1,100,,,,,,,
20,48,11,-68.41,1,100,,,,,,,
20,11,11,-82.89,0.91,100,,,,,,,
20,18,11,-88.17,0.1,100,,,,,,,
20,44,11,-88.9,0.03,100,,,,,,,
21,27,11,-75.93,0.95,100,,,,,,,
21,14,11,-84.13,0.9,100,,,,,,,
21,6,11,-75.59,0.95,100,,,,,,,
21,2,11,-65.94,0.94,100,,,,,,,
21,47,11,-50.45,1,100,,,,,,,
21,24,11,-86.27,0.43,100,,,,,,,
21,22,11,-77.21,1,100,,,,,,,
21,15,11,-54.42,1,100,,,,,,,
21,26,11,-90,0.01,100,,,,,,,
22,26,11,-68.39,1,100,,,,,,,
22,14,11,-67.77,1,100,,,,,,,
22,5,11,-88.23,0.16,100,,,,,,,
22,1,11,-84.01,1,100,,,,,,,
22,6,11,-65.3,1,100,,,,,,,
22,47,11,-62.39,1,100,,,,,,,
22,46,11,-82.57,1,100,,,,,,,
22,30,11,-68.39,1,100,,,,,,,
22,21,11,-77.85,0.87,100,,,,,,,
23,4,11,-77.28,1,100,,,,,,,
23,9,11,-65.39,1,100,,,,,,,
23,32,11,-80.07,0.99,100,,,,,,,
24,27,11,-56.33,1,100,,,,,,,
24,4,11,-77.43,1,100,,,,,,,
24,2,11,-68.29,0.97,100,,,,,,,
24,15,11,-77.53,0.86,100,,,,,,,
24,21,11,-86.36,0.45,100,,,,,,,
24,3,11,-50.39,1,100,,,,,,,
24,32,11,-77.84,1,100,,,,,,,
25,36,11,-64.98,1,100,,,,,,,
25,29,11,-66.38,1,100,,,,,,,
25,10,11,-67.12,1,100,,,,,,,
25,8,11,-78.92,1,100,,,,,,,
25,39,11,-77.19,1,100,,,,,,,
26,22,11,-68.39,1,100,,,,,,,
26,46,11,-55.85,1,100,,,,,,,
26,1,11,-53.39,1,100,,,,,,,
26,47,11,-71.43,1,100,,,,,,,
26,21,11,-88.52,0.12,100,,,,,,,
26,19,11,-65.39,1,100,,,,,,,
26,6,11,-75.47,0.97,100,,,,,,,
26,16,11,-86.5,0.9,100,,,,,,,
26,14,11,-85.21,0.81,100,,,,,,,
26,5,11,-74.39,1,100,,,,,,,
26,30,11,-71.57,1,100,,,,,,,
27,3,11,-79.25,0.98,100,,,,,,,
27,15,11,-74.55,0.99,100,,,,,,,
27,24,11,-56.4,1,100,,,,,,,
27,21,11,-75.4,0.98,100,,,,,,,
27,47,11,-84.04,0.6,100,,,,,,,
27,2,11,-43.3,1,100,,,,,,,
28,0,11,-70.65,1,100,,,,,,,
28,37,11,-74.8,1,100,,,,,,,
28,49,11,-78.45,1,100,,,,,,,
28,35,11,-71.71,1,100,,,,,,,
28,12,11,-56.41,1,100,,,,,,,
28,42,11,-67.32,1,100,,,,,,,
29,36,11,-84.6,0.73,100,,,,,,,
29,8,11,-74.39,1,100,,,,,,,
29,38,11,-85.16,0.45,100,,,,,,,
29,10,11,-76.05,1,100,,,,,,,
29,25,11,-65.46,1,100,,,,,,,
29,39,11,-82.44,1,100,,,,,,,
30,14,11,-86.99,0.33,100,,,,,,,
30,5,11,-85.85,0.84,100,,,,,,,
30,26,11,-71.39,1,100,,,,,,,
30,22,11,-67.24,1,100,,,,,,,
30,47,11,-75.28,1,100,,,,,,,
30,1,11,-62.97,1,100,,,,,,,
30,19,11,-85.83,0.64,100,,,,,,,
30,6,11,-88.16,0.12,100,,,,,,,
30,21,11,-91,0.01,100,,,,,,,
31,16,11,-74.39,1,100,,,,,,,
31,19,11,-83.4,1,100,,,,,,,
31,34,11,-59.39,1,100,,,,,,,
31,5,11,-49.24,1,100,,,,,,,
31,46,11,-77.42,1,100,,,,,,,
31,40,11,-78.43,1,100,,,,,,,
31,41,11,-76.02,1,100,,,,,,,
31,45,11,-84.41,1,100,,,,,,,
31,44,11,-71.42,1,100,,,,,,,
31,11,11,-84.91,0.59,100,,,,,,,
31,47,11,-91,0.01,100,,,,,,,
32,23,11,-81.06,1,100,,,,,,,
32,24,11,-77.61,0.94,100,,,,,,,
32,9,11,-65.61,1,100,,,,,,,
32,3,11,-69.14,1,100,,,,,,,
32,4,11,-58.38,1,100,,,,,,,
33,13,11,-56.39,1,100,,,,,,,
33,37,11,-87.67,0.16,100,,,,,,,
33,49,11,-63.39,1,100,,,,,,,
33,14,11,-86.53,0.39,100,,,,,,,
33,43,11,-62.39,1,100,,,,,,,
33,12,11,-90,0.01,100,,,,,,,
34,31,11,-59.39,1,100,,,,,,,
34,44,11,-74.11,1,100,,,,,,,
34,5,11,-69.39,1,100,,,,,,,
34,41,11,-82.33,1,100,,,,,,,
34,40,11,-74.39,1,100,,,,,,,
35,42,11,-87.15,0.21,100,,,,,,,
35,18,11,-84.29,0.58,100,,,,,,,
35,12,11,-67.6,0.59,100,,,,,,,
35,0,11,-62.39,1,100,,,,,,,
35,28,11,-70.6,1,100,,,,,,,
35,48,11,-83.21,1,100,,,,,,,
36,25,11,-62.39,1,100,,,,,,,
36,29,11,-86.24,0.4,100,,,,,,,
36,10,11,-47.39,1,100,,,,,,,
36,45,11,-87.11,0.49,100,,,,,,,
36,39,11,-56.69,1,100,,,,,,,
37,28,11,-75.34,0.67,100,,,,,,,
37,49,11,-71.33,1,100,,,,,,,
37,12,11,-86.48,0.32,100,,,,,,,
37,33,11,-88.9,0.03,100,,,,,,,
37,42,11,-88.99,0.04,100,,,,,,,
38,29,11,-85.41,0.54,100,,,,,,,
38,8,11,-60.39,1,100,,,,,,,
39,25,11,-76.64,1,100,,,,,,,
39,29,11,-83.39,0.95,100,,,,,,,
39,36,11,-58.06,1,100,,,,,,,
39,10,11,-78.76,1,100,,,,,,,
40,16,11,-86.14,1,100,,,,,,,
40,41,11,-63.54,1,100,,,,,,,
40,44,11,-26.39,1,100,,,,,,,
40,34,11,-74.39,1,100,,,,,,,
40,5,11,-60.97,1,100,,,,,,,
40,45,11,-70.77,1,100,,,,,,,
40,31,11,-77.46,1,100,,,,,,,
40,11,11,-64.86,1,100,,,,,,,
40,17,11,-75.93,1,100,,,,,,,
40,46,11,-86.41,0.38,100,,,,,,,
40,7,11,-91,0.01,100,,,,,,,
41,11,11,-70.63,1,100,,,,,,,
41,44,11,-62.14,1,100,,,,,,,
41,31,11,-75.61,1,100,,,,,,,
41,34,11,-82.56,1,100,,,,,,,
41,45,11,-62.39,1,100,,,,,,,
41,40,11,-62.85,1,100,,,,,,,
41,5,11,-82.49,1,100,,,,,,,
41,20,11,-91,0.01,100,,,,,,,
42,12,11,-65.75,0.64,100,,,,,,,
42,28,11,-65.84,1,100,,,,,,,
42,0,11,-80.22,0.56,100,,,,,,,
42,35,11,-87.63,0.12,100,,,,,,,
42,37,11,-91,0.01,100,,,,,,,
43,47,11,-77.28,0.98,100,,,,,,,
43,22,11,-87.19,0.23,100,,,,,,,
43,49,11,-77.18,1,100,,,,,,,
43,13,11,-41.38,1,100,,,,,,,
43,33,11,-62.39,1,100,,,,,,,
43,14,11,-62.41,1,100,,,,,,,
43,6,11,-80.64,0.97,100,,,,,,,
44,31,11,-70.41,1,100,,,,,,,
44,40,11,-26.39,1,100,,,,,,,
44,45,11,-68.39,1,100,,,,,,,
44,5,11,-78.51,1,100,,,,,,,
44,41,11,-62.34,1,100,,,,,,,
44,11,11,-56.39,1,100,,,,,,,
44,17,11,-67.44,1,100,,,,,,,
44,34,11,-74.39,1,100,,,,,,,
44,20,11,-89.05,0.07,100,,,,,,,
45,5,11,-78.84,1,100,,,,,,,
45,11,11,-79.45,1,100,,,,,,,
45,40,11,-69.59,1,100,,,,,,,
45,31,11,-82.99,1,100,,,,,,,
45,44,11,-67.39,1,100,,,,,,,
45,41,11,-62.39,1,100,,,,,,,
45,36,11,-88.61,0.04,100,,,,,,,
46,47,11,-81.33,0.73,100,,,,,,,
46,16,11,-77.39,1,100,,,,,,,
46,22,11,-82.41,0.99,100,,,,,,,
46,5,11,-71.4,1,100,,,,,,,
46,26,11,-58,1,100,,,,,,,
46,31,11,-78.35,1,100,,,,,,,
46,19,11,-62.39,1,100,,,,,,,
46,40,11,-88,0.15,100,,,,,,,
46,1,11,-90.31,0.02,100,,,,,,,
47,15,11,-68.42,1,100,,,,,,,
47,22,11,-62.38,1,100,,,,,,,
47,5,11,-74.39,1,100,,,,,,,
47,1,11,-76.48,1,100,,,,,,,
47,27,11,-84.93,0.71,100,,,,,,,
47,30,11,-77.36,1,100,,,,,,,
47,46,11,-80.4,1,100,,,,,,,
47,14,11,-62.58,1,100,,,,,,,
47,2,11,-79.67,0.52,100,,,,,,,
47,43,11,-77.44,1,100,,,,,,,
47,26,11,-71.39,1,100,,,,,,,
47,6,11,-44.6,1,100,,,,,,,
47,21,11,-53.18,1,100,,,,,,,
48,17,11,-79.6,1,100,,,,,,,
48,35,11,-81.77,0.58,100,,,,,,,
48,20,11,-68.4,1,100,,,,,,,
48,12,11,-74.94,0.58,100,,,,,,,
48,7,11,-44.4,1,100,,,,,,,
48,18,11,-65.9,1,100,,,,,,,
48,0,11,-67.48,1,100,,,,,,,
49,13,11,-80.4,1,100,,,,,,,
49,28,11,-78.7,0.64,100,,,,,,,
49,37,11,-71.03,1,100,,,,,,,
49,43,11,-76.06,1,100,,,,,,,
49,33,11,-64.2,1,100,,,,,,,
49,12,11,-84.09,0.59,100,,,,,,,
49,14,11,-91,0.01,100,,,,,,,
0,18,12,-67.62,0.85,100,,,,,,,
0,48,12,-65.42,1,100,,,,,,,
0,28,12,-68.86,0.61,100,,,,,,,
