Parameter,ORI,STD-ORI,AC,STD-AC,RIATA,STD-RIATA,QT,STD-QT
"(10, 1)",9.294493827,1.587256216,11.40801235,4.033667962,14.41930864,2.103090166,9.507716049,3.197356618
"(10, 5)",10.05199383,3.211383079,12.28396914,3.557227277,10.59751852,5.17035836,17.33708642,6.471831851
"(10, 10)",11.07570988,4.976034631,9.703481481,5.019454179,12.1892037,6.086978058,13.20855556,2.862063329
"(50, 1)",20.58728118,3.38730625,22.26912585,4.080547899,22.98431859,0.977481917,18.08506916,3.843054598
"(50, 5)",18.52181859,3.362725001,21.75900454,3.200829565,21.08609751,3.504467086,17.32470635,1.510952589
"(50, 10)",20.24729365,1.289792471,21.27653175,2.696431064,24.17381179,8.720004082,18.47681633,2.158131653
"(100, 1)",25.27714703,3.674259407,22.44104209,1.745991075,25.94692144,3.430667153,26.5017211,1.60677827
"(100, 5)",22.83821998,2.966953711,22.92381053,2.222560341,22.9426835,2.418206999,22.93300786,2.573798581
"(100, 10)",25.69623365,2.100907237,23.96594108,1.055197927,21.88739618,2.429361283,22.0610752,2.162488806
