Parameter,ORI,STD-ORI,AC,STD-AC,RIATA,STD-RIATA,QT,STD-QT
"(10, 1)",0.030989651,0.003597049,0.041705179,0.016827569,0.050214094,0.005918696,0.050113031,0.026895436
"(10, 5)",0.034629741,0.011966248,0.050120421,0.031699398,0.033583366,0.013144573,0.052060997,0.019134973
"(10, 10)",0.090911756,0.10694359,0.040846466,0.032093108,0.041208868,0.020500649,0.062926102,0.039048271
"(50, 1)",0.31215695,0.265288934,0.127192855,0.047890305,0.4884673,0.528960514,0.092309166,0.038071334
"(50, 5)",0.385822917,0.460476703,0.902379185,0.456615379,0.219010083,0.157490486,0.093127118,0.017172452
"(50, 10)",0.153671385,0.074952775,0.206371287,0.122157302,0.254134304,0.159515359,0.263807558,0.287351771
"(100, 1)",0.341106359,0.183165732,0.251169216,0.146496827,0.375590963,0.111932987,0.390892894,0.12521216
"(100, 5)",0.271762724,0.106494238,0.502676897,0.588475186,0.16231781,0.036785395,1.302803863,1.657378401
"(100, 10)",0.28150677,0.049554041,0.292727818,0.200175071,0.220334894,0.054112674,0.173009888,0.055843873
